Email,Address,Avatar,Avg. Session Length,Time on App,Time on Website,Length of Membership,Yearly Amount Spent
katherinegray@yahoo.com,"685 Sexton Ranch Suite 125
Lake Robertshire, NE 04469-3024",Cyan,31.1,12.4,35.6,4.3,487
efoster@williamson-boyd.org,"4968 Bennett Manors
Rogerschester, IL 81579-8333",Lavender,34.3,11.8,36.3,2.1,434
jordandavid@gmail.com,"61502 Parker Vista Apt. 363
Jonesshire, GU 33532",Violet,33.7,11,36.4,0.9,304
sanchezamber@scott-patterson.com,"257 Hunt Manors
South Charlottefort, CT 15033",Fuchsia,32.3,14.1,37,3.8,571
tinayoung@hotmail.com,"83995 Owens Course Apt. 747
South Jennifer, NJ 29942",MistyRose,35.4,11.9,36.1,4,583
alicia28@fuller.com,"8055 Robinson Brooks Apt. 657
Walterview, KY 83019",CadetBlue,32,11.5,39.2,3.5,446
rileyalejandro@gmail.com,"Unit 1475 Box 4215
DPO AE 39546-5591",LightSteelBlue,32.1,10,37.2,3.5,393
oliviamarshall@sawyer-sellers.com,"Unit 5934 Box 9748
DPO AA 37361-3043",Brown,33.9,12.4,37.3,4.2,566
hortonrobert@hotmail.com,"31309 Stacey Keys Apt. 979
South Jason, KS 35357",Salmon,33.2,12,36.8,3.5,499
montgomerycheyenne@hotmail.com,"1812 Sandra Shoal Apt. 350
Amandamouth, SC 87794-1628",FireBrick,32.5,11.1,37,4.1,511
martinkristi@sanchez-coleman.com,"PSC 1893, Box 7023
APO AA 73445",Lime,34.1,8.7,35.9,2.3,309
jefferycampbell@gmail.com,"381 Ashley Locks Suite 366
North Migueltown, TX 09795-0494",GreenYellow,33,12.5,37.6,4.1,562
webertom@phelps.com,"189 Crawford Hill Apt. 746
New Madison, WV 14108-4333",DarkOrchid,31.3,12.1,35.5,3.1,423
aschmidt@johnson.biz,"Unit 1743 Box 8085
DPO AE 47693-8164",Blue,32.2,11.7,35.6,4.3,513
lisadelgado@gmail.com,"57993 Jennifer Unions Suite 685
Emilyville, OK 53366-2375",Olive,33.5,11.9,36.5,3.9,529
sharongraves@yahoo.com,"73098 Ronald Port
Cliffordborough, MO 37479-9244",Wheat,32.9,12.6,37.8,0.3,314
flevine@gmail.com,"5292 Melanie Crescent Apt. 064
Fischerborough, NV 85721-5045",AliceBlue,32.2,12.5,37.7,3.3,479
rskinner@johnson-jefferson.com,"24725 Neal Lock
Cynthiaville, NY 51578",OliveDrab,32.7,12.6,37.7,2.6,445
kiarakim@harris.org,"1502 Gonzalez Throughway
Kathrynchester, FM 86014-7194",Linen,33,10.9,37.6,3.8,475
rachelrodriguez@lara-waters.com,"35466 Tommy Stream
Port Daniellemouth, KS 68863-6330",LightSlateGray,33.9,11.5,36.8,2.4,437
dbrown@gmail.com,"76666 Kathy Locks
Port Susan, ME 64335",Indigo,33.6,11.1,36.8,4,521
mary45@gmail.com,"33213 Tanner Knolls Apt. 519
Whiteborough, OR 37119-7790",Lime,33.7,11,37.7,3.6,478
marcusleach@floyd.org,"Unit 3998 Box 4348
DPO AA 37629",SteelBlue,32.6,11.6,36.3,3.2,432
lmunoz@yahoo.com,"2100 Austin Camp Apt. 943
Anthonymouth, WV 24243-3781",Olive,33.4,10.7,35.8,3.4,438
dvasquez@wiley.com,"967 Chloe Springs Suite 554
Lake Ashley, GA 03230",HoneyDew,32.8,11.1,34.8,2.6,389
dylanmartin@hotmail.com,"42644 Helen Keys Apt. 103
Jessicahaven, KS 89406-1960",MidnightBlue,33.1,13,37,3.5,535
xkaufman@gmail.com,"02342 Melissa Islands
Smithhaven, KS 68335",DarkViolet,35.4,10.6,36.9,4.2,538
jasonhensley@yahoo.com,"97262 Brian Skyway
Lake Marissa, GU 96859",Sienna,34,11.7,37.4,2.1,408
gstrong@hotmail.com,"7875 Landry Road Apt. 947
Brownshire, NC 10074-7735",Pink,34,13.6,36.8,3.6,619
arnoldsamuel@wilson.com,"949 Tapia Viaduct
Martinezfurt, CT 79271-8205",LightSkyBlue,32.8,11.4,35.3,4,503
scottrose@yahoo.com,"50639 Sarah Isle Apt. 268
Yangmouth, MO 05540",SaddleBrown,33.5,11.2,37.2,2.3,397
salazarkaren@hotmail.com,"51173 Burton Wall Apt. 417
Prestonville, NY 37002",SteelBlue,31.9,10.3,36.9,3.5,392
susanibarra@yahoo.com,"426 Scott Radial Apt. 065
Abigailstad, MS 16590-2222",Thistle,32.5,14.1,38.4,5.3,689
nhenry@hotmail.com,"3874 Harper Plaza
North Nancy, ME 96802-9462",BlanchedAlmond,34.9,12.4,37.7,3.1,543
millerrachel@gallagher-nichols.com,"Unit 4742 Box 9517
DPO AE 67219-3123",Turquoise,34.2,10.8,34.6,5,578
garciakevin@gmail.com,"845 Colleen Ways
Lake Matthewview, VT 65340-3159",Orange,33.5,12.7,36.4,1.7,437
philliproberson@yahoo.com,"Unit 0373 Box 8981
DPO AA 89902",Beige,34.2,12.7,37.5,3.7,554
kstafford@estes-nguyen.com,"PSC 4856, Box 1297
APO AA 17032-7944",YellowGreen,31.2,14,36.7,1.8,427
kennethperry@bowen.org,"272 Frederick Lodge
East Andrew, FL 07414",SlateGray,32.5,11.5,36.6,3,425
prussell@lopez.com,"9985 Wolf Pass
Brandimouth, CA 63346",Bisque,34.5,11.4,36.4,4,541
mosleyjacob@yahoo.com,"PSC 1790, Box 8872
APO AE 01821-4769",Orange,33.7,12.3,38.9,3.1,469
rhaas@yahoo.com,"4502 Jennifer Prairie Suite 029
Lake Jesse, LA 02328-3633",DimGray,31.6,12.7,36.2,2.6,445
antonioharris@hotmail.com,"4307 Nicholas Drive Apt. 259
Ramirezberg, AS 59832",MediumBlue,33.7,13.5,37.1,2.4,493
austinthomas@gmail.com,"5855 Gross Burgs Suite 169
Ballland, AS 98525",AntiqueWhite,33.8,11.2,36.3,4.3,535
bethsullivan@reed.net,"80500 Mary Corners Apt. 225
Wallsville, ME 80526",Beige,34.3,11.2,38.7,2.1,409
ncummings@yahoo.com,"344 Jessica Stravenue
New Brian, MA 04730-6761",Beige,31.1,12.4,36.2,4.1,488
hking@hotmail.com,"85181 Christian Courts Suite 758
Larryfurt, MS 38722-6766",PeachPuff,33.1,11.8,36.9,3.5,488
annstone@hotmail.com,"543 Reynolds Burg
Melindaberg, KY 46631",LightPink,34.6,11.8,38.1,1.8,402
christopher44@hotmail.com,"549 Anna Avenue
Port Laura, CA 76209-9339",WhiteSmoke,34.2,11.6,35.8,4.2,551
autumn88@mendoza-mills.com,"214 Obrien Lakes Suite 572
South Jeremy, KS 52867-7617",MediumOrchid,32,12.5,35.5,3.4,497
dhudson@ramos.net,"5661 Grant Centers
Stevensfurt, CT 53959",Olive,31,11.7,36.1,4.4,495
egomez@hotmail.com,"768 Riley Pine Apt. 624
Kellymouth, OK 98992-3108",MistyRose,33.6,12.2,37.2,2.9,479
kimberlyruiz@smith-gordon.com,"503 Adams Pines Apt. 638
North Ashleyside, AZ 34687-6128",DarkRed,33.4,11.9,36.9,2.8,463
mooremichelle@logan.com,"07813 Randy Point
Lake Thomasberg, MO 06013-9920",Pink,33.4,12.2,36.4,3.4,516
aaron22@gmail.com,"38678 Sean Drive Suite 293
Karentown, IA 78306-2717",DarkGray,33.5,12,36.5,4.7,576
michelleshepherd@price.com,"6820 Erica Vista Apt. 418
Brightside, IA 50639",Orchid,32.9,11.9,36.1,1.2,358
zscott@wright.com,"9909 Hoffman Ranch Suite 195
Scotthaven, SC 53575",PeachPuff,35.6,12.1,38.2,4,598
tracy79@wheeler.net,"513 Moore Crescent Apt. 416
Amandaberg, GU 03655-2219",Magenta,32.2,11.3,37.1,1.7,327
brian28@sanchez.org,"7446 Mary Ferry
Lake Sherryfurt, GA 49066-0207",GhostWhite,34.7,11.6,37.7,3.2,510
leonardhancock@hotmail.com,"64147 Alexander Station Apt. 474
East Jasonview, MN 83788",SeaShell,34.3,11.7,36.8,3.4,511
davidsonkathleen@gmail.com,"70128 Zimmerman Overpass
Robertsshire, VA 59860",DarkBlue,33.7,11.2,37.8,2.2,404
nathan84@lowery.net,"01242 Stephanie Ways Suite 003
Churchville, MO 35617",MediumSeaGreen,32.1,12.6,35.5,5.4,628
kellydeborah@chan.biz,"354 Sanchez Wall Suite 884
Juliabury, VI 39735",DarkTurquoise,33.4,13.4,38,2.8,511
lewisjessica@craig-evans.com,"4483 Jones Motorway Suite 872
Lake Jamiefurt, UT 75292",Tan,33.2,13.6,36.4,3.7,574
katrina56@gmail.com,"172 Owen Divide Suite 497
West Richard, CA 19320",PaleVioletRed,34.7,11.7,37.2,3.6,529
dale88@hotmail.com,"0787 Andrews Ranch Apt. 633
South Chadburgh, TN 56128",Cornsilk,32.6,11.5,38.3,5,552
cwilson@hotmail.com,"680 Jennifer Lodge Apt. 808
Brendachester, TX 05000-5873",Teal,33.3,12.4,36.8,2.3,456
hannahwilson@davidson.com,"49791 Rachel Heights Apt. 898
East Drewborough, OR 55919-9528",DarkMagenta,33.7,12.4,35.8,2.7,498
